"Symbol";"Value";"Unit";
"TraceParts.PartNumber";"10-02032017-086586";"";
"REFERENCE";"32009 X";"";
"TraceParts.PartVersion";"1.3.6";"";
"TraceParts.InstanceId";"10-02032017-0865862XKV5G73QDYS2V7GE1JUROZVA";"";
"TraceParts.PartTitle";"Tapered roller bearings, single row";"";
"SUPPLIER";"SKF";"";
"DESIGN";"Tapered roller bearings, single row, Bore Ø 45 mm, Outside Ø 75 mm";"";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.PartLanguage";"en";"";
"MASS";"0.344";"";
